path,line,line1,annotation
dataset/mastodon/mastodon/331cca40159f7627f73c73030b512e5f616ed52b/Build container image/build-image,#29 58.57 Selecting previously unselected package python2.7.,#15 49.00 checking for initgroups... yes,2
dataset/mastodon/mastodon/331cca40159f7627f73c73030b512e5f616ed52b/Build container image/build-image,#12 21.18 checking for gcc option to accept ISO C89... none needed,#15 26.91 checking sanitizer/msan_interface.h presence... no,2
dataset/mastodon/mastodon/e34dd3644c830895988a3116a7b6949fd81ed3fa/Build container image/build-image,#13 711.4 checking for syscall... yes,#24 841.1 checking for mkfifo... yes,2
dataset/mastodon/mastodon/e34dd3644c830895988a3116a7b6949fd81ed3fa/Build container image/build-image,(Reading database ... 95%,#19 16.48 Fetched 29.6 MB in 1s (45.7 MB/s),2
dataset/mastodon/mastodon/a6508d652b8a6e99980909bb67db59b39e831c81/Build container image/build-image,#17 11.26 Preparing to unpack .../02-libicu66_66.1-2ubuntu2.1_amd64.deb ...,#17 14.40 Get:38 http://archive.ubuntu.com/ubuntu focal-updates/main amd64 libpq-dev amd64 12.9-0ubuntu0.20.04.1 [136 kB],2
dataset/mastodon/mastodon/a6508d652b8a6e99980909bb67db59b39e831c81/Build container image/build-image,#16 55.34 Preparing to unpack .../14-m4_1.4.18-4_arm64.deb ...,#16 72.65 Selecting previously unselected package binutils-common:arm64.,2
dataset/mastodon/mastodon/dc503472477000597f2ff1b6a5c37e8ac4dd2d8c/Build container image/build-image,  seccomp,   Profile: default,2
dataset/mastodon/mastodon/dc503472477000597f2ff1b6a5c37e8ac4dd2d8c/Build container image/build-image,remote: Compressing objects:  33% (1820/5513)        ,remote: Compressing objects:  33% (1820/5513)        ,1
dataset/tillsteinbach/VWsFriend/9c8aa15298030a2dc04815849da6048f1cec277c/grafana Build/vwsfriend-grafana,"  ""labels"": {","  ],",2
dataset/tillsteinbach/VWsFriend/9c8aa15298030a2dc04815849da6048f1cec277c/grafana Build/vwsfriend-grafana,remote: Compressing objects:  74% (163/220)        ,remote: Compressing objects:  74% (163/220)        ,1
dataset/lukas-krecan/JsonUnit/4bfae6093ae40a9f18741c514a3d9bcdb640136a/CI/build (8),INFO: Completed initialization in 0 ms,"May 05, 2022 5:59:46 PM org.springframework.mock.web.MockServletContext log",2
dataset/lukas-krecan/JsonUnit/4bfae6093ae40a9f18741c514a3d9bcdb640136a/CI/build (8),------------,17:59:55.565 [main] DEBUG net.javacrumbs.jsonunit.difference.diff - JSON documents are different:,2
dataset/AliveToolkit/alive2/eb5b9484f715f2977878d18416466ea549e9e6a9/Build/macos-latest clang++ Release,Receiving objects:  58% (891/1536),Receiving objects:  58% (891/1536),1
dataset/AliveToolkit/alive2/eb5b9484f715f2977878d18416466ea549e9e6a9/Build/macos-latest clang++ Release,Job is about to start running on the hosted runner: GitHub Actions 3 (hosted),Job is about to start running on the hosted runner: GitHub Actions 3 (hosted),1
dataset/migueldeicaza/gui.cs/f05cba2d81b963fb4cdddcb8fd63d4ba7bc55170/Code scanning - action/CodeQL-Build,"      ""/opt/hostedtoolcache/CodeQL/0.0.0-20220401/x64/codeql/qlpacks/codeql/csharp-queries/0.0.13/Security Features/CWE-312/CleartextStorage.ql"" : { },",  documentation_url: 'https://docs.github.com/rest',2
dataset/migueldeicaza/gui.cs/f05cba2d81b963fb4cdddcb8fd63d4ba7bc55170/Code scanning - action/CodeQL-Build,Resolving deltas:  27% (83/306),Resolving deltas:  27% (72/265),3
dataset/migueldeicaza/gui.cs/736d10598bb508a80cbd4bba746ec7bbc975eef6/Code scanning - action/CodeQL-Build,remote: Compressing objects:  72% (315/437)        ,remote: Compressing objects:  72% (317/439)        ,3
dataset/migueldeicaza/gui.cs/736d10598bb508a80cbd4bba746ec7bbc975eef6/Code scanning - action/CodeQL-Build,Download action repository 'actions/checkout@v3' (SHA:2541b1294d2704b0964813337f33b291d3f8596b),Download action repository 'actions/checkout@v3' (SHA:2541b1294d2704b0964813337f33b291d3f8596b),1
dataset/migueldeicaza/gui.cs/d16f0f607f18b57ea9810c9e58f64eec1e0b190b/Build Terminal.Gui with .NET Core/build,Resolving deltas:  71% (191/268),Resolving deltas:  71% (191/268),1
dataset/migueldeicaza/gui.cs/d16f0f607f18b57ea9810c9e58f64eec1e0b190b/Build Terminal.Gui with .NET Core/build,Receiving objects:  80% (467/583),Receiving objects:  80% (467/583),1
dataset/migueldeicaza/gui.cs/eb0e5003a64e08a687d4427d1eae8f88b64c2b42/Code scanning - action/CodeQL-Build,Resolving deltas:  39% (104/265),Resolving deltas:  39% (105/269),3
dataset/migueldeicaza/gui.cs/eb0e5003a64e08a687d4427d1eae8f88b64c2b42/Code scanning - action/CodeQL-Build,Resolving deltas:  84% (223/265),Resolving deltas:  84% (226/269),3
dataset/migueldeicaza/gui.cs/3a8a537639aef3721413e2abea63ec1ff511faaf/Code scanning - action/CodeQL-Build,remote: Counting objects:  98% (575/586)        ,remote: Counting objects:  98% (571/582)        ,3
dataset/migueldeicaza/gui.cs/3a8a537639aef3721413e2abea63ec1ff511faaf/Code scanning - action/CodeQL-Build,Receiving objects:  45% (264/586),Receiving objects:  45% (262/582),3
dataset/wp-graphql/wp-graphql/16b159fe40ebdc12e1b7ce968b27ec0a9d1943e2/Code Quality/Check code (8),'16b159fe40ebdc12e1b7ce968b27ec0a9d1943e2','73d0a34bf78b45062973db86b2481da7f256771a',3
dataset/wp-graphql/wp-graphql/16b159fe40ebdc12e1b7ce968b27ec0a9d1943e2/Code Quality/Check code (8),remote: Compressing objects:  80% (496/620)        ,remote: Compressing objects:  80% (496/619)        ,3
"dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (14 0.7.0)""",[command]/usr/bin/git config --local gc.auto 0,[command]/usr/bin/git config --local gc.auto 0,1
"dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (14 0.7.0)""",(Reading database ... 15%,(Reading database ... 5%,3
"dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (16 0.7.0)""","Received 0 of 717403230 (0.0%), 0.0 MBs/sec","Received 478150656 of 717403230 (66.7%), 227.4 MBs/sec",2
"dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (16 0.7.0)""",PASS src/__tests__/modules/document.test.ts,PASS src/__tests__/modules/window.test.ts (5.292 s),2
"dataset/neoclide/coc.nvim/9bec5321d9e69d601f64977b2888735704b47436/Dev/test (14 0.7.0)""",PASS src/__tests__/snippets/session.test.ts,PASS src/__tests__/tree/treeView.test.ts (11.771 s),2
"dataset/neoclide/coc.nvim/9bec5321d9e69d601f64977b2888735704b47436/Dev/test (14 0.7.0)""",PASS src/__tests__/handler/fold.test.ts,PASS src/__tests__/core/terminals.test.ts,2
"dataset/neoclide/coc.nvim/36cc9646a0ad804fc7199331511a75cc0ceb8f4b/Dev/test (ubuntu-latest 16)""",remote: Counting objects:  68% (318/467)        ,remote: Counting objects:  68% (316/464)        ,3
"dataset/neoclide/coc.nvim/7240bdc1be0269b0675d96611b05bdc4526bb996/Dev/test (14 0.7.0)""",remote: Counting objects:  34% (161/472)        ,remote: Counting objects:  34% (160/469)        ,3
"dataset/neoclide/coc.nvim/7240bdc1be0269b0675d96611b05bdc4526bb996/Dev/test (16 0.7.0)""",remote: Counting objects:   7% (34/472)        ,remote: Counting objects:   7% (33/469)        ,3
"dataset/neoclide/coc.nvim/29e5cee64d8fba94ead39552ec6c8819876099c1/Dev/test (16 0.7.0)""",LuaJIT 2.1.0-beta3,LuaJIT 2.1.0-beta3,1
"dataset/neoclide/coc.nvim/29e5cee64d8fba94ead39552ec6c8819876099c1/Dev/test (16 0.7.0)""",remote: Compressing objects:  70% (297/423)        ,remote: Compressing objects:  70% (296/422)        ,3
dataset/neoclide/coc.nvim/2094e25197d7782d65bfe1ccfe053df5402dfd67/Lint/Lint,Job is waiting for a hosted runner to come online.,Job is waiting for a hosted runner to come online.,1
dataset/neoclide/coc.nvim/2094e25197d7782d65bfe1ccfe053df5402dfd67/Lint/Lint,  submodules: false,  submodules: false,1
"dataset/neoclide/coc.nvim/d0e6301e196264230ffc855cd5e1f196cb5a428b/Dev/test (ubuntu-latest 14)""",(Reading database ... 80%,(Reading database ... 55%,3
"dataset/neoclide/coc.nvim/facfc0b419bfafb1f48a04c394574ee9345b25bf/Dev/test (16 0.7.0)""",20.04.4,20.04.4,1
"dataset/neoclide/coc.nvim/9cf278d18f89b9e4ac96cbe0ca44098ed0d7308c/Dev/test (16 0.7.0)""",remote: Counting objects:  25% (116/462)        ,remote: Counting objects:  25% (116/464)        ,3
"dataset/neoclide/coc.nvim/9cf278d18f89b9e4ac96cbe0ca44098ed0d7308c/Dev/test (16 0.7.0)""",SecurityEvents: write,SecurityEvents: write,1
dataset/RequiDev/ReModCE/81f4d5a26424b78e83f3ebf5f713bc0c47591653/release_on_tag/build,remote: Compressing objects:  29% (31/104)        ,remote: Compressing objects:  29% (30/103)        ,3
dataset/RequiDev/ReModCE/81f4d5a26424b78e83f3ebf5f713bc0c47591653/release_on_tag/build,remote: Compressing objects:  97% (101/104)        ,remote: Compressing objects:  97% (100/103)        ,3
dataset/RequiDev/ReModCE/87c446b183727a62e7489993e4eb7586abae1aed/main/build,Resolving deltas:   5% (1/19),Resolving deltas:  15% (3/19),3
dataset/RequiDev/ReModCE/87c446b183727a62e7489993e4eb7586abae1aed/main/build,remote: Counting objects:  12% (13/106)        ,remote: Counting objects:  12% (13/106)        ,1
